[2023-03-08 20:20:17,759][demo3.py][line:240][INFO] start training!
[2023-03-08 20:20:24,523][demo3.py][line:280][INFO] Epoch:[0/0]	 step:[50] 	 loss=1.06222	 accu=0.250 	 auc=0.645
[2023-03-08 20:20:24,572][demo3.py][line:280][INFO] Epoch:[0/1]	 step:[50] 	 loss=1.05688	 accu=0.250 	 auc=0.702
[2023-03-08 20:20:24,592][demo3.py][line:280][INFO] Epoch:[0/2]	 step:[50] 	 loss=1.01862	 accu=0.266 	 auc=0.736
[2023-03-08 20:20:24,772][demo3.py][line:280][INFO] Epoch:[0/3]	 step:[50] 	 loss=0.94099	 accu=0.334 	 auc=0.773
[2023-03-08 20:20:24,793][demo3.py][line:280][INFO] Epoch:[0/4]	 step:[50] 	 loss=0.87692	 accu=0.460 	 auc=0.792
[2023-03-08 20:20:24,892][demo3.py][line:280][INFO] Epoch:[0/5]	 step:[50] 	 loss=0.84948	 accu=0.536 	 auc=0.801
[2023-03-08 20:20:24,985][demo3.py][line:280][INFO] Epoch:[0/6]	 step:[50] 	 loss=0.84747	 accu=0.546 	 auc=0.797
[2023-03-08 20:20:25,086][demo3.py][line:280][INFO] Epoch:[0/7]	 step:[50] 	 loss=0.84731	 accu=0.539 	 auc=0.806
[2023-03-08 20:20:25,174][demo3.py][line:280][INFO] Epoch:[0/8]	 step:[50] 	 loss=0.86049	 accu=0.513 	 auc=0.810
[2023-03-08 20:20:25,268][demo3.py][line:280][INFO] Epoch:[0/9]	 step:[50] 	 loss=0.86243	 accu=0.510 	 auc=0.814
[2023-03-08 20:20:25,369][demo3.py][line:280][INFO] Epoch:[0/10]	 step:[50] 	 loss=0.85545	 accu=0.525 	 auc=0.815
[2023-03-08 20:20:25,398][demo3.py][line:280][INFO] Epoch:[0/11]	 step:[50] 	 loss=0.84992	 accu=0.541 	 auc=0.814
[2023-03-08 20:20:25,495][demo3.py][line:280][INFO] Epoch:[0/12]	 step:[50] 	 loss=0.84678	 accu=0.551 	 auc=0.826
[2023-03-08 20:20:25,593][demo3.py][line:280][INFO] Epoch:[0/13]	 step:[50] 	 loss=0.84041	 accu=0.576 	 auc=0.839
[2023-03-08 20:20:25,768][demo3.py][line:280][INFO] Epoch:[0/14]	 step:[50] 	 loss=0.84067	 accu=0.570 	 auc=0.833
[2023-03-08 20:20:34,474][demo3.py][line:280][INFO] Epoch:[1/0]	 step:[50] 	 loss=0.83447	 accu=0.590 	 auc=0.860
