id,userid,movieid,rate
0,1,1,5
1,1,2,3
2,1,3,4
3,1,4,3
4,1,5,3
5,1,6,5
6,1,7,4
7,1,8,1
8,1,9,5
9,1,10,3
10,1,11,2
11,1,12,5
12,1,13,5
13,1,14,5
14,1,15,5
15,1,16,5
16,1,17,3
17,1,18,4
18,1,19,5
19,1,21,1
20,1,22,4
21,1,23,4
22,1,24,3
23,1,25,4
24,1,26,3
25,1,27,2
26,1,28,4
27,1,29,1
28,1,30,3
29,1,31,3
30,1,32,5
31,1,34,2
32,1,35,1
33,1,36,2
34,1,37,2
35,1,38,3
36,1,39,4
37,1,40,3
38,1,41,2
39,1,42,5
40,1,43,4
41,1,44,5
42,1,45,5
43,1,46,4
44,1,47,4
45,1,48,5
46,1,49,3
47,1,50,5
48,1,51,4
49,1,52,4
50,1,53,3
51,1,54,3
52,1,55,5
53,1,56,4
54,1,57,5
55,1,58,4
56,1,59,5
57,1,60,5
58,1,62,3
59,1,63,2
60,1,64,5
61,1,65,4
62,1,66,4
63,1,67,3
64,1,68,4
65,1,69,3
66,1,70,3
67,1,71,3
68,1,72,4
69,1,73,3
70,1,74,1
71,1,75,4
72,1,76,4
73,1,77,4
74,1,78,1
75,1,79,4
76,1,80,4
77,1,81,5
78,1,82,5
79,1,83,3
80,1,84,4
81,1,85,3
82,1,86,5
83,1,87,5
84,1,88,4
85,1,89,5
86,1,90,4
87,1,91,5
88,1,92,3
89,1,93,5
90,1,94,2
91,1,95,4
92,1,96,5
93,1,97,3
94,1,98,4
95,1,99,3
96,1,100,5
97,1,101,2
98,1,102,2
99,1,103,1
100,1,104,1
101,1,105,2
102,1,106,4
103,1,107,4
104,1,108,5
105,1,109,5
106,1,110,1
107,1,111,5
108,1,112,1
109,1,113,5
110,1,114,5
111,1,115,5
112,1,116,3
113,1,118,3
114,1,119,5
115,1,120,1
116,1,121,4
117,1,122,3
118,1,123,4
119,1,124,5
120,1,125,3
121,1,126,2
122,1,127,5
123,1,128,4
124,1,129,5
125,1,130,3
126,1,131,1
127,1,132,4
128,1,133,4
129,1,134,4
130,1,135,4
131,1,136,3
132,1,137,5
133,1,138,1
134,1,139,3
135,1,140,1
136,1,141,3
137,1,142,2
138,1,143,1
139,1,144,4
140,1,145,2
141,1,146,4
142,1,147,3
143,1,148,2
144,1,149,2
145,1,150,5
146,1,151,4
147,1,152,5
148,1,153,3
149,1,154,5
150,1,156,4
151,1,157,4
152,1,158,3
153,1,159,3
154,1,161,4
155,1,162,4
156,1,163,4
157,1,164,3
158,1,165,5
159,1,166,5
160,1,167,2
161,1,168,5
162,1,169,5
163,1,170,5
164,1,172,5
165,1,173,5
166,1,174,5
167,1,175,5
168,1,176,5
169,1,177,5
170,1,178,5
171,1,179,3
172,1,180,3
173,1,181,5
174,1,182,4
175,1,183,5
176,1,184,4
177,1,185,4
178,1,186,4
179,1,187,4
180,1,188,3
181,1,190,5
182,1,191,5
183,1,192,4
184,1,193,4
185,1,194,4
186,1,195,5
187,1,196,5
188,1,197,5
189,1,198,5
190,1,199,4
191,1,200,3
192,1,201,3
193,1,203,4
194,1,204,5
195,1,205,3
196,1,206,4
197,1,207,5
198,1,208,5
199,1,209,4
200,1,210,4
201,1,211,3
202,1,212,4
203,1,213,2
204,1,214,4
205,1,215,3
206,1,216,5
207,1,217,3
208,1,218,3
209,1,219,1
210,1,220,3
211,1,221,5
212,1,222,4
213,1,223,5
214,1,224,5
215,1,225,2
216,1,226,3
217,1,227,4
218,1,228,5
219,1,229,4
220,1,230,4
221,1,231,1
222,1,232,3
223,1,233,2
224,1,234,4
225,1,235,5
226,1,236,4
227,1,237,2
228,1,238,4
229,1,239,4
230,1,240,3
231,1,241,4
232,1,242,5
233,1,243,1
234,1,244,2
235,1,245,2
236,1,246,5
237,1,247,1
238,1,248,4
239,1,249,4
240,1,250,4
241,1,251,4
242,1,252,2
243,1,253,5
244,1,254,1
245,1,255,2
246,1,256,4
247,1,257,4
248,1,258,5
249,1,259,1
250,1,260,1
251,1,261,1
252,1,262,3
253,1,263,1
254,1,264,2
255,1,266,1
256,1,267,4
